iter	Passed	Remaining
0	8	8476
1	16	8223
2	24	8098
3	32	8058
4	40	7999
5	48	7974
6	55	7917
7	63	7869
8	71	7862
9	79	7887
10	92	8316
11	113	9359
12	131	10004
13	154	10847
14	164	10779
15	192	11834
16	206	11914
17	220	12023
18	238	12297
19	252	12379
20	271	12667
21	288	12827
22	302	12848
23	315	12839
24	329	12847
25	344	12890
26	354	12784
27	364	12667
28	375	12569
29	386	12487
30	396	12398
31	408	12351
32	418	12266
33	433	12322
34	446	12310
35	456	12221
36	466	12149
37	476	12069
38	486	11977
39	497	11949
40	508	11886
41	519	11848
42	528	11766
43	538	11707
44	547	11612
45	554	11504
46	562	11399
47	569	11302
48	578	11228
49	586	11137
50	595	11073
51	602	10993
52	610	10910
53	618	10827
54	625	10750
55	633	10685
56	642	10621
57	650	10560
58	659	10511
59	668	10469
60	678	10446
61	687	10400
62	696	10365
63	707	10341
64	715	10290
65	723	10235
66	731	10182
67	740	10149
68	748	10098
69	756	10057
70	765	10013
71	773	9969
72	782	9937
73	791	9902
74	799	9858
75	807	9814
76	814	9765
77	822	9717
78	830	9677
79	837	9632
80	845	9596
81	853	9554
82	861	9520
83	869	9479
84	877	9443
85	886	9417
86	895	9397
87	903	9366
88	912	9337
89	921	9317
90	932	9313
91	941	9295
92	954	9305
93	964	9292
94	973	9276
95	984	9267
96	991	9233
97	998	9192
98	1006	9162
99	1014	9128
100	1022	9102
101	1030	9073
102	1038	9040
103	1046	9014
104	1055	8997
105	1067	9002
106	1077	8989
107	1084	8960
108	1092	8932
109	1101	8908
110	1109	8884
111	1116	8855
112	1124	8829
113	1132	8804
114	1140	8778
115	1148	8750
116	1156	8729
117	1166	8715
118	1177	8714
119	1189	8722
120	1198	8704
121	1206	8683
122	1214	8659
123	1222	8635
124	1230	8613
125	1238	8591
126	1246	8565
127	1253	8542
128	1266	8552
129	1288	8619
130	1305	8661
131	1328	8736
132	1351	8810
133	1374	8884
134	1391	8914
135	1415	8994
136	1429	9005
137	1449	9056
138	1466	9082
139	1478	9084
140	1491	9086
141	1502	9080
142	1517	9093
143	1529	9090
144	1539	9078
145	1550	9067
146	1559	9051
147	1569	9032
148	1578	9013
149	1589	9005
150	1600	8998
151	1613	9004
152	1624	8992
153	1634	8978
154	1644	8963
155	1654	8950
156	1664	8937
157	1674	8923
158	1683	8903
159	1694	8894
160	1703	8875
161	1719	8895
162	1728	8877
163	1738	8864
164	1746	8838
165	1755	8817
166	1763	8796
167	1771	8773
168	1779	8749
169	1787	8725
170	1794	8700
171	1802	8677
172	1810	8653
173	1818	8631
174	1826	8610
175	1834	8586
176	1842	8567
177	1850	8546
178	1858	8522
179	1866	8501
180	1873	8477
181	1881	8458
182	1890	8439
183	1902	8438
184	1911	8421
185	1921	8408
186	1931	8396
187	1941	8384
188	1949	8364
189	1958	8348
190	1968	8336
191	1975	8315
192	1983	8294
193	1991	8273
194	1999	8253
195	2007	8235
196	2015	8215
197	2023	8196
198	2031	8176
199	2039	8156
200	2047	8139
201	2054	8118
202	2063	8100
203	2071	8082
204	2079	8062
205	2086	8042
206	2094	8024
207	2102	8003
208	2109	7983
209	2116	7963
210	2125	7946
211	2132	7926
212	2139	7905
213	2147	7887
214	2155	7868
215	2162	7850
216	2170	7832
217	2178	7816
218	2186	7797
219	2193	7778
220	2202	7762
221	2209	7743
222	2217	7726
223	2225	7710
224	2233	7693
225	2242	7679
226	2250	7662
227	2259	7649
228	2267	7635
229	2276	7621
230	2284	7604
231	2292	7587
232	2300	7571
233	2307	7554
234	2316	7540
235	2325	7529
236	2333	7512
237	2341	7496
238	2350	7483
239	2358	7469
240	2366	7452
241	2375	7440
242	2383	7423
243	2390	7406
244	2401	7399
245	2417	7410
246	2440	7440
247	2462	7468
248	2477	7473
249	2501	7505
250	2519	7517
251	2533	7521
252	2550	7531
253	2567	7540
254	2584	7551
255	2602	7564
256	2618	7570
257	2637	7584
258	2652	7588
259	2665	7587
260	2677	7580
261	2688	7572
262	2698	7560
263	2708	7551
264	2718	7539
265	2729	7532
266	2741	7525
267	2751	7515
268	2762	7507
269	2772	7495
270	2784	7491
271	2796	7485
272	2808	7479
273	2818	7468
274	2827	7454
275	2838	7444
276	2847	7432
277	2858	7424
278	2867	7409
279	2877	7398
280	2886	7385
281	2895	7372
282	2905	7361
283	2915	7351
284	2923	7334
285	2931	7318
286	2939	7301
287	2947	7285
